epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,106.653,1.06991,0.82337,0.89958,0.87849,0.91782,0.95417,0.68393,1.00647,0.78969,0.88772,0.0014852,0.0014852,0.0014852
15,112.545,1.04446,0.80669,0.90687,0.88413,0.90069,0.95447,0.73614,0.8001,0.70938,0.86436,0.0014456,0.0014456,0.0014456
16,118.529,1.00138,0.79244,0.886,0.89083,0.85969,0.94919,0.75663,0.73918,0.66805,0.85388,0.001406,0.001406,0.001406
17,124.642,0.99909,0.75961,0.89372,0.85663,0.89532,0.94584,0.71057,0.89192,0.72316,0.89381,0.0013664,0.0013664,0.0013664
18,130.544,0.98651,0.77811,0.8856,0.86791,0.8931,0.94665,0.73841,0.7981,0.73908,0.86765,0.0013268,0.0013268,0.0013268
19,136.517,0.99543,0.75456,0.89586,0.88798,0.90041,0.95283,0.68472,0.9797,0.73669,0.87239,0.0012872,0.0012872,0.0012872
20,142.392,0.98042,0.73327,0.87807,0.87937,0.87672,0.93266,0.67606,0.98072,0.7525,0.90734,0.0012476,0.0012476,0.0012476
21,148.345,0.95777,0.72316,0.89159,0.88638,0.92083,0.96323,0.76944,0.72659,0.61924,0.84895,0.001208,0.001208,0.001208
22,154.344,0.95184,0.706,0.86963,0.88244,0.91091,0.96016,0.76258,0.75808,0.6276,0.85409,0.0011684,0.0011684,0.0011684
23,160.392,0.9242,0.66869,0.88469,0.90634,0.90869,0.9671,0.77753,0.73694,0.60531,0.84692,0.0011288,0.0011288,0.0011288
24,166.357,0.93023,0.68254,0.85865,0.89215,0.89755,0.96145,0.77192,0.72776,0.58546,0.85744,0.0010892,0.0010892,0.0010892
25,172.267,0.91623,0.66244,0.87589,0.91315,0.89755,0.96955,0.7839,0.69751,0.56163,0.8467,0.0010496,0.0010496,0.0010496
26,178.288,0.89075,0.65751,0.87687,0.88142,0.94432,0.96473,0.76827,0.76333,0.61346,0.85195,0.00101,0.00101,0.00101
27,184.229,0.88898,0.657,0.86482,0.90001,0.92219,0.96436,0.78859,0.71001,0.5937,0.85012,0.0009704,0.0009704,0.0009704
28,190.209,0.92478,0.66561,0.85851,0.89872,0.9289,0.96906,0.7861,0.6998,0.57238,0.83721,0.0009308,0.0009308,0.0009308
29,196.182,0.9009,0.64441,0.8707,0.91971,0.94398,0.97155,0.7477,0.85397,0.58207,0.87077,0.0008912,0.0008912,0.0008912
30,202.045,0.88089,0.62402,0.865,0.91503,0.91144,0.9703,0.80092,0.69878,0.55381,0.83689,0.0008516,0.0008516,0.0008516
31,207.981,0.84511,0.61258,0.85653,0.91325,0.91444,0.97055,0.79741,0.68454,0.53748,0.83591,0.000812,0.000812,0.000812
32,213.812,0.84217,0.61345,0.85577,0.92872,0.92862,0.97408,0.80014,0.6797,0.57466,0.84792,0.0007724,0.0007724,0.0007724
33,219.762,0.84395,0.61675,0.86154,0.92297,0.93403,0.97746,0.82321,0.62779,0.52884,0.83409,0.0007328,0.0007328,0.0007328
34,225.753,0.85617,0.6002,0.85118,0.91837,0.94209,0.97415,0.80682,0.68597,0.53542,0.83128,0.0006932,0.0006932,0.0006932
35,231.775,0.8823,0.60663,0.85527,0.91249,0.9265,0.97412,0.7864,0.72913,0.55748,0.84851,0.0006536,0.0006536,0.0006536
36,237.542,0.82433,0.58807,0.84439,0.92998,0.9265,0.97668,0.8363,0.58919,0.48645,0.81583,0.000614,0.000614,0.000614
37,243.464,0.80976,0.56229,0.84564,0.92501,0.96159,0.98003,0.80993,0.67297,0.50042,0.83161,0.0005744,0.0005744,0.0005744
38,249.446,0.7857,0.54669,0.84082,0.9369,0.95904,0.98285,0.79928,0.69007,0.49221,0.82828,0.0005348,0.0005348,0.0005348
39,255.357,0.78459,0.55367,0.81959,0.94101,0.94432,0.98435,0.81142,0.67488,0.47567,0.8289,0.0004952,0.0004952,0.0004952
40,261.28,0.75513,0.54958,0.82748,0.94374,0.95323,0.98368,0.82198,0.64424,0.48041,0.82319,0.0004556,0.0004556,0.0004556
41,269.618,0.76044,0.57196,0.83201,0.94673,0.951,0.98325,0.8345,0.59979,0.46819,0.81548,0.000416,0.000416,0.000416
42,275.534,0.78057,0.55147,0.84313,0.95302,0.94885,0.98518,0.82882,0.61352,0.47274,0.81487,0.0003764,0.0003764,0.0003764
43,281.412,0.72197,0.52125,0.84204,0.95293,0.94679,0.98573,0.82462,0.6357,0.47977,0.81833,0.0003368,0.0003368,0.0003368
44,287.194,0.71728,0.51032,0.84166,0.95158,0.91919,0.98173,0.83982,0.60017,0.45712,0.81715,0.0002972,0.0002972,0.0002972
45,293.09,0.72356,0.50597,0.84277,0.95699,0.94153,0.98648,0.83133,0.62129,0.44929,0.81911,0.0002576,0.0002576,0.0002576
46,298.931,0.74881,0.58434,0.8361,0.92949,0.96892,0.98539,0.84176,0.5882,0.44262,0.81588,0.000218,0.000218,0.000218
47,304.951,0.68833,0.4894,0.83114,0.96377,0.95991,0.98756,0.83408,0.62021,0.4345,0.82276,0.0001784,0.0001784,0.0001784
48,310.779,0.71135,0.48605,0.82836,0.96378,0.96437,0.98686,0.84787,0.57913,0.43481,0.81279,0.0001388,0.0001388,0.0001388
49,316.675,0.70036,0.48496,0.84129,0.97297,0.96185,0.98758,0.83508,0.6091,0.43219,0.81779,9.92e-05,9.92e-05,9.92e-05
50,322.534,0.63778,0.46536,0.81892,0.9611,0.96437,0.98793,0.85264,0.56752,0.41681,0.81211,5.96e-05,5.96e-05,5.96e-05
